Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,06-Jan-2014,29-Dec-2016,7000,568.65,2416.3,6191.45,0.290030666400355
NIFTY,25-Feb-2014,24-Apr-2014,7200,981.75,1472.2,6200.05,0.427903036984213
NIFTY,19-Feb-2014,27-Mar-2014,6700,524,1.8,6152.75,
NIFTY,11-Feb-2014,28-Jun-2018,4200,59,2774.9,6062.7,
NIFTY,25-Feb-2014,24-Dec-2014,5000,120,3313.45,6200.05,
NIFTY,14-Feb-2014,27-Dec-2018,5400,61.55,3086.8,6048.35,0.182971986882786
NIFTY,17-Jan-2014,28-Jun-2018,4700,102.45,1652.25,6261.65,-0.00449108058616
NIFTY,05-Feb-2014,29-Jun-2017,3700,11.7,2060,6022.4,
NIFTY,21-Jan-2014,24-Dec-2014,8100,655.4,150,6313.8,0.269565302415267
NIFTY,11-Mar-2014,30-Jun-2016,3500,10.45,3117.75,6511.9,
NIFTY,31-Jan-2014,25-Jun-2015,6600,331.4,2091.2,6089.5,0.439314304845567
NIFTY,29-Jan-2014,29-Dec-2016,3500,101.05,2923.75,6120.25,-0.006240756162876
NIFTY,16-Jan-2014,29-Dec-2016,7000,568.65,2610.7,6318.9,0.241837239492705
NIFTY,06-Jan-2014,27-Mar-2014,6500,295.25,1245.85,6191.45,0.238668474899702
NIFTY,20-Mar-2014,30-Jun-2016,4500,252,2888,6483.1,0.217214855290736
NIFTY,22-Mar-2014,27-Mar-2014,6750,234.5,1.65,6494.9,0.79872680972025
NIFTY,21-Jan-2014,25-Jun-2015,3100,21.1,157.95,6313.8,0.628852042921347
NIFTY,10-Mar-2014,29-May-2014,5250,0.4,731.55,6537.25,0.116487688603846
NIFTY,31-Jan-2014,28-Jun-2018,4800,113.1,2254.55,6089.5,0.226473389902681
NIFTY,14-Mar-2014,25-Jun-2015,3100,21.1,2808.35,6504.2,
NIFTY,20-Mar-2014,27-Mar-2014,3500,0.05,2142.3,6483.1,0.804447324413408
NIFTY,21-Mar-2014,29-May-2014,7150,752.2,12.2,6493.2,0.367933816911256
NIFTY,29-Jan-2014,26-Feb-2014,7250,1019.85,3.05,6120.25,0.152159630322484
NIFTY,10-Feb-2014,28-Dec-2017,7800,239.1,1277.25,6053.45,0.103457202368565
NIFTY,13-Mar-2014,27-Mar-2014,5050,0.8,1504.35,6493.1,1.5468361817458
NIFTY,26-Feb-2014,27-Dec-2018,5900,102.05,2857.95,6238.8,0.484283038553366
NIFTY,03-Mar-2014,24-Dec-2014,5600,824.5,1414.7,6221.45,
NIFTY,03-Jan-2014,30-Jan-2014,4600,0.3,127.25,6211.15,
NIFTY,03-Feb-2014,29-Dec-2016,3000,82.25,1904.75,6001.8,-0.00449108058616
NIFTY,20-Feb-2014,28-Jun-2018,6300,360.9,2402.9,6091.45,
